"site_id","monitoring_id","date_time_out","net_type","amount_nets","species","scientific_name","species_name","maori_name","native/nonnative","taonga","amount","sex","length_mm","weight_g","soft_shelled","berried","youngs","cups","mL","notes"
1,"1_0",2025-02-05 15:39:00,"Box",2,"Bullies","Gobiomorphus cotidianus","Common_bully","Toitoi","Native","No",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"1_0",2025-02-05 15:39:00,"Fyke",2,"Eel","Anguilla dieffenbachii","Long_fin_eel","Tuna","Native","Yes",1,NA,600,NA,NA,NA,NA,NA,NA,NA
1,"1_0",2025-02-05 15:39:00,"Fyke",2,"Goldfish","Carassius auratus","Goldfish","Morihana","Nonnative","No",1,NA,204,22,NA,NA,NA,NA,NA,NA
1,"1_0",2025-02-05 15:39:00,"Fyke",2,"Common_smelt","Retropinna retropinna","Common_smelt","Common_smelt","Native","No",19,NA,NA,25,NA,NA,NA,NA,NA,NA
1,"1_0",2025-02-05 15:39:00,"Fyke",2,"Bullies","Gobiomorphus cotidianus","Common_bully","Toitoi","Native","No",NA,NA,NA,574,NA,NA,NA,2.5,591.47,NA
1,"1_0",2025-02-05 15:39:00,"Fyke",2,"Bullies","Gobiomorphus cotidianus","Common_bully","Toitoi","Native","No",NA,NA,NA,537,NA,NA,NA,2.5,591.47,NA
1,"1_0",2025-02-05 15:39:00,"Fyke",2,"Bullies","Gobiomorphus cotidianus","Common_bully","Toitoi","Native","No",NA,NA,NA,386,NA,NA,NA,1.75,414.029,NA
1,"1_0",2025-02-05 15:39:00,"Fyke",2,"Bullies","Gobiomorphus cotidianus","Common_bully","Toitoi","Native","No",NA,NA,NA,365,NA,NA,NA,2,473.176,NA
1,"1_0",2025-02-05 15:39:00,"Fyke",2,"Goldfish","Carassius auratus","Goldfish","Morihana","Nonnative","No",1,NA,80,6,NA,NA,NA,NA,NA,NA
1,"1_0",2025-02-05 15:39:00,"Fyke",2,"Kōaro","Galaxias brevipinnis","Climbing_galaxias","Kōaro","Native","Yes",1,NA,73,6,NA,NA,NA,NA,NA,NA
1,"1_0",2025-02-05 15:39:00,"Fyke",2,"Kōaro","Galaxias brevipinnis","Climbing_galaxias","Kōaro","Native","Yes",1,NA,75,3,NA,NA,NA,NA,NA,NA
1,"1_0",2025-02-05 15:39:00,"Fyke",2,"Kōaro","Galaxias brevipinnis","Climbing_galaxias","Kōaro","Native","Yes",1,NA,75,6,NA,NA,NA,NA,NA,NA
1,"1_0",2025-02-05 15:39:00,"Fyke",2,"Kōura","Paranephrops planifrons","Freshwater_crayfish","Kōura","Native","Yes",1,"F",21.7,5,NA,NA,NA,NA,NA,NA
1,"1_0",2025-02-05 15:39:00,"Fyke",2,"Bullies","Gobiomorphus cotidianus","Common_bully","Toitoi","Native","No",NA,NA,NA,45,NA,NA,NA,0.25,59.147,NA
1,"1_0",2025-02-05 15:39:00,"Fyke",2,"Kōura","Paranephrops planifrons","Freshwater_crayfish","Kōura","Native","Yes",1,"M",40,44,NA,NA,NA,NA,NA,NA
1,"1_0",2025-02-05 15:39:00,"Fyke",2,"Goldfish","Carassius auratus","Goldfish","Morihana","Nonnative","No",1,NA,120,45,NA,NA,NA,NA,NA,NA
1,"1_0",2025-02-05 15:39:00,"Fyke",2,"Goldfish","Carassius auratus","Goldfish","Morihana","Nonnative","No",1,NA,90,60,NA,NA,NA,NA,NA,NA
1,"1_0",2025-02-05 15:39:00,"Fyke",2,"Goldfish","Carassius auratus","Goldfish","Morihana","Nonnative","No",1,NA,120,46,NA,NA,NA,NA,NA,NA
1,"1_0",2025-02-05 15:39:00,"Fyke",2,"Goldfish","Carassius auratus","Goldfish","Morihana","Nonnative","No",1,NA,88,40,NA,NA,NA,NA,NA,NA
1,"1_0",2025-02-05 15:39:00,"Fyke",2,"Kōaro","Galaxias brevipinnis","Climbing_galaxias","Kōaro","Native","Yes",1,NA,85,6,NA,NA,NA,NA,NA,NA
1,"1_0",2025-02-05 15:39:00,"Fyke",2,"Bullies","Gobiomorphus cotidianus","Common_bully","Toitoi","Native","No",NA,NA,NA,559,NA,NA,NA,2.5,591.47,NA
1,"1_0",2025-02-05 15:39:00,"Fyke",2,"Bullies","Gobiomorphus cotidianus","Common_bully","Toitoi","Native","No",NA,NA,NA,379,NA,NA,NA,1.5,354.882,NA
1,"1_0",2025-02-05 15:39:00,"Fyke",2,"Bullies","Gobiomorphus cotidianus","Common_bully","Toitoi","Native","No",NA,NA,NA,176,NA,NA,NA,NA,NA,NA
2,"2_0",2025-02-05 15:02:00,"Box",2,"Bullies","Gobiomorphus cotidianus","Common_bully","Toitoi","Native","No",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"2_0",2025-02-05 15:02:00,"Fyke",2,"Goldfish","Carassius auratus","Goldfish","Morihana","Nonnative","No",1,NA,112,33,NA,NA,NA,NA,NA,NA
2,"2_0",2025-02-05 15:01:59.995,"Fyke",2,"Kōura","Paranephrops planifrons","Freshwater_crayfish","Kōura","Native","Yes",1,"F",32.48,28,NA,NA,NA,NA,NA,NA
2,"2_0",2025-02-05 15:01:59.995,"Fyke",2,"Kōaro","Galaxias brevipinnis","Climbing_galaxias","Kōaro","Native","Yes",1,NA,90,6,NA,NA,NA,NA,NA,NA
2,"2_0",2025-02-05 15:01:59.995,"Fyke",2,"Kōaro","Galaxias brevipinnis","Climbing_galaxias","Kōaro","Native","Yes",1,NA,86,6,NA,NA,NA,NA,NA,NA
2,"2_0",2025-02-05 15:01:59.995,"Fyke",2,"Goldfish","Carassius auratus","Goldfish","Morihana","Nonnative","No",1,NA,91,22,NA,NA,NA,NA,NA,NA
2,"2_0",2025-02-05 15:01:59.995,"Fyke",2,"Kōaro","Galaxias brevipinnis","Climbing_galaxias","Kōaro","Native","Yes",1,NA,78,6,NA,NA,NA,NA,NA,NA
2,"2_0",2025-02-05 15:01:59.995,"Fyke",2,"Goldfish","Carassius auratus","Goldfish","Morihana","Nonnative","No",1,NA,100,26,NA,NA,NA,NA,NA,NA
2,"2_0",2025-02-05 15:01:59.995,"Fyke",2,"Common_smelt","Retropinna retropinna","Common_smelt","Common_smelt","Native","No",14,NA,NA,11,NA,NA,NA,NA,NA,NA
2,"2_0",2025-02-05 15:01:59.995,"Fyke",2,"Kōaro","Galaxias brevipinnis","Climbing_galaxias","Kōaro","Native","Yes",1,NA,80,4,NA,NA,NA,NA,NA,NA
2,"2_0",2025-02-05 15:01:59.995,"Fyke",2,"Kōaro","Galaxias brevipinnis","Climbing_galaxias","Kōaro","Native","Yes",1,NA,80,5,NA,NA,NA,NA,NA,NA
2,"2_0",2025-02-05 15:01:59.995,"Fyke",2,"Bullies","Gobiomorphus cotidianus","Common_bully","Toitoi","Native","No",NA,NA,NA,527,NA,NA,NA,2.5,591.47,NA
2,"2_0",2025-02-05 15:01:59.995,"Fyke",2,"Kōaro","Galaxias brevipinnis","Climbing_galaxias","Kōaro","Native","Yes",1,NA,175,NA,NA,NA,NA,NA,NA,NA
