"site_id","monitoring","monitoring_id","lake","site","LID","lat","lon","site_size","DHT","date_time","weather","lake_water_clarity_m","sediment_sample","macrophyte_sample","notes"
1,0,"1_0","Rotoiti","Stone_pile",54730,-38.0526673079263,176.47144524762,150,"Rocky",2025-02-04 03:00:00,"Sunny",3.5,1,1,NA
2,0,"2_0","Rotoiti","Control",54730,-38.0529135570371,176.470933127575,150,"Rocky",2025-02-04 03:30:00,"Sunny",3.5,1,1,"New rocks as retainig wall/ dead swan in site"
3,0,"3_0","Rotoiti","Stone_pile",54730,-38.047698100528,176.341122568488,150,"Sandy",2025-02-04 12:50:00,"Sunny",3,1,1,"nets collepes first time"
4,0,"4_0","Rotoiti","Control",54730,-38.0480187161085,176.341484639114,150,"Sandy",2025-02-04 12:30:00,"Sunny",3,1,1,"nets collepes first time"
5,0,"5_0","Rotoiti","Stone_pile",54730,-38.0222760864304,176.348643537609,150,"Sandy",2025-02-04 11:30:00,"Sunny",3,1,1,NA
6,0,"6_0","Rotoiti","Control",54730,-38.0218725085535,176.348304238168,150,"Sandy",2025-02-04 11:00:00,"Sunny",3,1,1,NA
7,0,"7_0","Rotoiti","Stone_pile",54730,-38.0400700989088,176.368333417899,150,"Sandy",2025-02-04 02:30:00,"Sunny",3,1,1,NA
8,0,"8_0","Rotoiti","Control",54730,-38.0399884269911,176.367640974845,150,"Sandy",2025-02-04 02:00:00,"Sunny",3,1,1,NA
9,0,"9_0","Rotoiti","Stone_pile",54730,-38.0149838,176.4133799,150,"Sandy",2025-02-04 09:45:00,"Sunny",3.5,1,1,NA
10,0,"10_0","Rotoiti","Control",54730,-38.0149894250948,176.414205051426,150,"Rocky",2025-02-04 10:20:00,"Sunny",3.5,1,1,NA
11,0,"11_0","Rotoiti","Reference",54730,-38.0276056022708,176.40494378912,150,"Rocky",2025-02-06 14:46:00,"Sunny",3.5,1,1,"Right, Cliff as shore"
12,0,"12_0","Rotoiti","Reference",54730,-38.027783,176.4042814,150,"Rocky",2025-02-06 15:10:00,"Sunny",3.5,1,1,"Left, Cliff as shore"
13,0,"13_0","Rotoiti","Reference",54730,-38.0401949,176.3586787,150,"Sandy",2025-02-06 11:15:00,"Sunny",3,1,1,"Right"
14,0,"14_0","Rotoiti","Reference",54730,-38.0398114,176.3581623,150,"Sandy",2025-02-06 11:00:00,"Sunny",3,1,1,"Left, 1 net big hole"
15,0,"15_0","Rotoiti","Reference",54730,-38.0354320054637,176.345087343881,150,"Rocky",2025-02-06 10:00:00,"Sunny",3,1,1,"Left"
16,0,"16_0","Rotoiti","Reference",54730,-38.035946522854,176.345727107707,150,"Rocky",2025-02-06 10:15:00,"Sunny",3,1,1,"Right"
17,0,"17_0","Rotoiti","Reference",54730,-38.0174132,176.3755268,150,"Rocky",2025-02-06 13:09:00,"Sunny",3.5,1,1,"Left"
18,0,"18_0","Rotoiti","Reference",54730,-38.0172588,176.3757789,150,"Rocky",2025-02-06 13:30:00,"Sunny",3.5,1,1,"Right"
19,0,"19_0","Rotoiti","Reference",54730,-38.01677,176.421,150,"Rocky",2025-02-06 15:20:00,"Sunny",3.5,1,1,"Right"
20,0,"20_0","Rotoiti","Reference",54730,-38.0170202210521,176.420489675691,150,"Rocky",2025-02-06 15:40:00,"Sunny",3.5,1,1,"Left"
1,1,"1_1","Rotoiti","Stone_pile",54730,-38.0526673079263,176.47144524762,150,"Rocky",2025-04-28 13:00:00,"Cloudy",5,0,0,NA
2,1,"2_1","Rotoiti","Control",54730,-38.0529135570371,176.470933127575,150,"Rocky",2025-04-28 12:30:00,"Cloudy",5,0,0,NA
3,1,"3_1","Rotoiti","Stone_pile",54730,-38.047698100528,176.341122568488,150,"Sandy",2025-04-28 10:50:00,"Cloudy",5,0,0,NA
4,1,"4_1","Rotoiti","Control",54730,-38.0480187161085,176.341484639114,150,"Sandy",2025-04-28 10:30:00,"Cloudy",5,0,0,NA
5,1,"5_1","Rotoiti","Stone_pile",54730,-38.0222760864304,176.348643537609,150,"Sandy",2025-04-28 09:00:00,"Cloudy",5,0,0,NA
6,1,"6_1","Rotoiti","Control",54730,-38.0218725085535,176.348304238168,150,"Sandy",2025-04-28 08:30:00,"Cloudy",5,0,0,"site filled with weed"
7,1,"7_1","Rotoiti","Stone_pile",54730,-38.0400700989088,176.368333417899,150,"Sandy",2025-04-28 11:44:00,"Cloudy",5,0,0,NA
8,1,"8_1","Rotoiti","Control",54730,-38.0399884269911,176.367640974845,150,"Sandy",2025-04-28 11:30:00,"Cloudy",5,0,0,"1 fyke net colappsed"
9,1,"9_1","Rotoiti","Stone_pile",54730,-38.0149838,176.4133799,150,"Sandy",2025-04-28 09:30:00,"Cloudy",5,0,0,NA
10,1,"10_1","Rotoiti","Control",54730,-38.0149894250948,176.414205051426,150,"Rocky",2025-04-28 09:45:00,"Cloudy",5,0,0,NA
11,1,"11_1","Rotoiti","Reference",54730,-38.0276056022708,176.40494378912,150,"Rocky",2025-04-30 16:17:00,"Sunny",5,0,0,NA
12,1,"12_1","Rotoiti","Reference",54730,-38.027783,176.4042814,150,"Rocky",2025-04-30 16:17:00,"Sunny",5,0,0,NA
13,1,"13_1","Rotoiti","Reference",54730,-38.0401949,176.3586787,150,"Sandy",2025-04-30 17:11:00,"Sunny",5,0,0,"All nets collapsed"
14,1,"14_1","Rotoiti","Reference",54730,-38.0398114,176.3581623,150,"Sandy",2025-04-30 17:11:00,"Sunny",5,0,0,"All nets collapsed"
15,1,"15_1","Rotoiti","Reference",54730,-38.0354320054637,176.345087343881,150,"Rocky",2025-04-30 12:41:00,"Sunny",5,0,0,NA
16,1,"16_1","Rotoiti","Reference",54730,-38.035946522854,176.345727107707,150,"Rocky",2025-04-30 13:08:00,"Sunny",5,0,0,NA
17,1,"17_1","Rotoiti","Reference",54730,-38.0174132,176.3755268,150,"Rocky",2025-04-30 14:10:00,"Sunny",5,0,0,NA
18,1,"18_1","Rotoiti","Reference",54730,-38.0172588,176.3757789,150,"Rocky",2025-04-30 14:10:00,"Sunny",5,0,0,NA
19,1,"19_1","Rotoiti","Reference",54730,-38.01677,176.421,150,"Rocky",2025-04-30 15:10:00,"Sunny",5,0,0,NA
20,1,"20_1","Rotoiti","Reference",54730,-38.0170202210521,176.420489675691,150,"Rocky",2025-04-30 15:10:00,"Sunny",5,0,0,NA
1,2,"1_2","Rotoiti","Stone_pile",54730,-38.0526673079263,176.47144524762,150,"Rocky",2025-07-16 13:12:00,"Windy waves",NA,0,0,"1 fyke net washed to shore other filled with weed"
2,2,"2_2","Rotoiti","Control",54730,-38.0529135570371,176.470933127575,150,"Rocky",2025-07-16 12:54:00,"Windy waves",NA,0,0,"Filled with weeds box moved a lot and fykes were drifting"
3,2,"3_2","Rotoiti","Stone_pile",54730,-38.047698100528,176.341122568488,150,"Sandy",2025-07-16 11:18:00,"Sunny",NA,0,0,NA
4,2,"4_2","Rotoiti","Control",54730,-38.0480187161085,176.341484639114,150,"Sandy",2025-07-16 11:05:00,"Sunny",NA,0,0,NA
5,2,"5_2","Rotoiti","Stone_pile",54730,-38.0222760864304,176.348643537609,150,"Sandy",2025-07-16 10:38:00,"Sunny",NA,0,0,NA
6,2,"6_2","Rotoiti","Control",54730,-38.0218725085535,176.348304238168,150,"Sandy",2025-07-16 10:25:00,"Sunny",NA,0,0,NA
7,2,"7_2","Rotoiti","Stone_pile",54730,-38.0400700989088,176.368333417899,150,"Sandy",2025-07-16 12:03:00,"Sunny",NA,0,0,NA
8,2,"8_2","Rotoiti","Control",54730,-38.0399884269911,176.367640974845,150,"Sandy",2025-07-16 12:00:00,"Windy waves",NA,0,0,NA
9,2,"9_2","Rotoiti","Stone_pile",54730,-38.0149838,176.4133799,150,"Sandy",2025-07-16 09:46:00,"Very windy big waves",NA,0,0,NA
10,2,"10_2","Rotoiti","Control",54730,-38.0149894250948,176.414205051426,150,"Rocky",2025-07-16 09:50:00,"Very windy big waves",NA,0,0,NA
11,2,"11_2","Rotoiti","Reference",54730,-38.0276056022708,176.40494378912,150,"Rocky",2025-07-31 12:00:00,"Sunny",4.7,0,0,NA
12,2,"12_2","Rotoiti","Reference",54730,-38.027783,176.4042814,150,"Rocky",2025-07-31 11:50:00,"Sunny",4.7,0,0,NA
13,2,"13_2","Rotoiti","Reference",54730,-38.0401949,176.3586787,150,"Sandy",2025-07-31 10:30:00,"Sunny",4.7,0,0,NA
14,2,"14_2","Rotoiti","Reference",54730,-38.0398114,176.3581623,150,"Sandy",2025-07-31 10:40:00,"Sunny",4.7,0,0,"1 Fyke had big hole in the top where it was repaired, the other fyke entrance was closed."
15,2,"15_2","Rotoiti","Reference",54730,-38.0354320054637,176.345087343881,150,"Rocky",2025-07-31 10:15:00,"Sunny",4.7,0,0,NA
16,2,"16_2","Rotoiti","Reference",54730,-38.035946522854,176.345727107707,150,"Rocky",2025-07-31 10:00:00,"Sunny",4.7,0,0,NA
17,2,"17_2","Rotoiti","Reference",54730,-38.0174132,176.3755268,150,"Rocky",2025-07-31 11:00:00,"Sunny",4.7,0,0,NA
18,2,"18_2","Rotoiti","Reference",54730,-38.0172588,176.3757789,150,"Rocky",2025-07-31 11:10:00,"Sunny",4.7,0,0,NA
19,2,"19_2","Rotoiti","Reference",54730,-38.01677,176.421,150,"Rocky",2025-07-31 11:20:00,"Sunny",4.7,0,0,"Both Fyke lose wind from south started in the middle of the night"
20,2,"20_2","Rotoiti","Reference",54730,-38.0170202210521,176.420489675691,150,"Rocky",2025-07-31 11:30:00,"Sunny",4.7,0,0,"Both Fyke lose wind from south started in the middle of the night"
1,3,"1_3","Rotoiti","Stone_pile",54730,-38.0526673079263,176.47144524762,150,"Rocky",2025-10-21 12:58:00,"Windy waves",NA,0,0,"Both Fyke and boxes lose and wased to shore due to heavy wind"
2,3,"2_3","Rotoiti","Control",54730,-38.0529135570371,176.470933127575,150,"Rocky",2025-10-21 13:18:00,"Windy waves",NA,0,0,"Both Fyke and boxes lose and wased to shore due to heavy wind"
3,3,"3_3","Rotoiti","Stone_pile",54730,-38.047698100528,176.341122568488,150,"Sandy",2025-10-21 11:31:00,"Sunny",NA,0,0,NA
4,3,"4_3","Rotoiti","Control",54730,-38.0480187161085,176.341484639114,150,"Sandy",2025-10-21 11:13:00,"Sunny",NA,0,0,NA
5,3,"5_3","Rotoiti","Stone_pile",54730,-38.0222760864304,176.348643537609,150,"Sandy",2025-10-21 10:46:00,"Sunny",NA,0,0,NA
6,3,"6_3","Rotoiti","Control",54730,-38.0218725085535,176.348304238168,150,"Sandy",2025-10-21 10:31:00,"Sunny",NA,0,0,NA
7,3,"7_3","Rotoiti","Stone_pile",54730,-38.0400700989088,176.368333417899,150,"Sandy",2025-10-21 12:24:00,"Sunny",NA,0,0,NA
8,3,"8_3","Rotoiti","Control",54730,-38.0399884269911,176.367640974845,150,"Sandy",2025-10-21 12:19:00,"Sunny",NA,0,0,NA
9,3,"9_3","Rotoiti","Stone_pile",54730,-38.0149838,176.4133799,150,"Sandy",2025-10-21 09:42:00,"Sunny",NA,0,0,NA
10,3,"10_3","Rotoiti","Control",54730,-38.0149894250948,176.414205051426,150,"Rocky",2025-10-21 09:42:00,"Sunny",NA,0,0,NA
11,3,"11_3","Rotoiti","Reference",54730,-38.0276056022708,176.40494378912,150,"Rocky",2025-11-10 12:39:00,"Cloudy",3.5,0,0,NA
12,3,"12_3","Rotoiti","Reference",54730,-38.027783,176.4042814,150,"Rocky",2025-11-10 12:39:00,"Cloudy",3.5,0,0,NA
13,3,"13_3","Rotoiti","Reference",54730,-38.0401949,176.3586787,150,"Sandy",2025-11-10 11:14:00,"Cloudy",3.5,0,0,NA
14,3,"14_3","Rotoiti","Reference",54730,-38.0398114,176.3581623,150,"Sandy",2025-11-10 11:14:00,"Cloudy",3.5,0,0,NA
15,3,"15_3","Rotoiti","Reference",54730,-38.0354320054637,176.345087343881,150,"Rocky",2025-11-10 12:59:00,"Cloudy",3.5,0,0,NA
16,3,"16_3","Rotoiti","Reference",54730,-38.035946522854,176.345727107707,150,"Rocky",2025-11-10 12:59:00,"Cloudy",3.5,0,0,NA
17,3,"17_3","Rotoiti","Reference",54730,-38.0174132,176.3755268,150,"Rocky",2025-11-10 11:34:00,"Cloudy",3.5,0,0,NA
18,3,"18_3","Rotoiti","Reference",54730,-38.0172588,176.3757789,150,"Rocky",2025-11-10 11:34:00,"Cloudy",3.5,0,0,NA
19,3,"19_3","Rotoiti","Reference",54730,-38.01677,176.421,150,"Rocky",2025-11-10 12:16:00,"Cloudy",3.5,0,0,NA
20,3,"20_3","Rotoiti","Reference",54730,-38.0170202210521,176.420489675691,150,"Rocky",2025-11-10 12:16:00,"Cloudy",3.5,0,0,NA
1,4,"1_4","Rotoiti","Stone_pile",54730,-38.0526673079263,176.47144524762,150,"Rocky",2026-01-12 12:12:00,"Cloudy",NA,0,0,NA
2,4,"2_4","Rotoiti","Control",54730,-38.0529135570371,176.470933127575,150,"Rocky",2026-01-12 12:12:00,"Cloudy",NA,0,0,NA
3,4,"3_4","Rotoiti","Stone_pile",54730,-38.047698100528,176.341122568488,150,"Sandy",2026-01-12 11:14:00,"Cloudy",NA,0,0,NA
4,4,"4_4","Rotoiti","Control",54730,-38.0480187161085,176.341484639114,150,"Sandy",2026-01-12 11:14:00,"Cloudy",NA,0,0,NA
5,4,"5_4","Rotoiti","Stone_pile",54730,-38.0222760864304,176.348643537609,150,"Sandy",2026-01-12 10:33:00,"Sunny",NA,0,0,NA
6,4,"6_4","Rotoiti","Control",54730,-38.0218725085535,176.348304238168,150,"Sandy",2026-01-12 10:33:00,"Sunny",NA,0,0,NA
7,4,"7_4","Rotoiti","Stone_pile",54730,-38.0400700989088,176.368333417899,150,"Sandy",2026-01-19 10:16:00,"Sunny",NA,0,0,NA
8,4,"8_4","Rotoiti","Control",54730,-38.0399884269911,176.367640974845,150,"Sandy",2026-01-19 10:16:00,"Sunny",NA,0,0,NA
9,4,"9_4","Rotoiti","Stone_pile",54730,-38.0149838,176.4133799,150,"Sandy",2026-01-12 09:30:00,"Sunny",NA,0,0,NA
10,4,"10_4","Rotoiti","Control",54730,-38.0149894250948,176.414205051426,150,"Rocky",2026-01-12 09:30:00,"Sunny",NA,0,0,NA
11,4,"11_4","Rotoiti","Reference",54730,-38.0276056022708,176.40494378912,150,"Rocky",2026-01-14 11:38:00,"Cloudy",5.5,0,0,NA
12,4,"12_4","Rotoiti","Reference",54730,-38.027783,176.4042814,150,"Rocky",2026-01-14 11:38:00,"Cloudy",5.5,0,0,NA
13,4,"13_4","Rotoiti","Reference",54730,-38.0401949,176.3586787,150,"Sandy",2026-01-14 10:23:00,"Cloudy",5.5,0,0,NA
14,4,"14_4","Rotoiti","Reference",54730,-38.0398114,176.3581623,150,"Sandy",2026-01-14 10:23:00,"Cloudy",5.5,0,0,NA
15,4,"15_4","Rotoiti","Reference",54730,-38.0354320054637,176.345087343881,150,"Rocky",2026-01-14 09:56:00,"Cloudy",5.5,0,0,NA
16,4,"16_4","Rotoiti","Reference",54730,-38.035946522854,176.345727107707,150,"Rocky",2026-01-14 09:56:00,"Cloudy",5.5,0,0,NA
17,4,"17_4","Rotoiti","Reference",54730,-38.0174132,176.3755268,150,"Rocky",2026-01-14 10:55:00,"Cloudy",5.5,0,0,NA
18,4,"18_4","Rotoiti","Reference",54730,-38.0172588,176.3757789,150,"Rocky",2026-01-14 10:55:00,"Cloudy",5.5,0,0,NA
19,4,"19_4","Rotoiti","Reference",54730,-38.01677,176.421,150,"Rocky",2026-01-14 11:27:00,"Cloudy",5.5,0,0,NA
20,4,"20_4","Rotoiti","Reference",54730,-38.0170202210521,176.420489675691,150,"Rocky",2026-01-14 11:27:00,"Cloudy",5.5,0,0,NA
1,5,"1_5","Rotoiti","Stone_pile",54730,-38.0526673079263,176.47144524762,150,"Rocky",2026-04-22 13:50:00,"Sunny",NA,0,0,NA
2,5,"2_5","Rotoiti","Control",54730,-38.0529135570371,176.470933127575,150,"Rocky",2026-04-22 13:50:00,"Sunny",NA,0,0,NA
3,5,"3_5","Rotoiti","Stone_pile",54730,-38.047698100528,176.341122568488,150,"Sandy",2026-04-22 12:08:00,"Sunny",NA,0,0,NA
4,5,"4_5","Rotoiti","Control",54730,-38.0480187161085,176.341484639114,150,"Sandy",2026-04-22 12:08:00,"Sunny",NA,0,0,NA
5,5,"5_5","Rotoiti","Stone_pile",54730,-38.0222760864304,176.348643537609,150,"Sandy",2026-04-22 11:17:00,"Sunny",NA,0,0,NA
6,5,"6_5","Rotoiti","Control",54730,-38.0218725085535,176.348304238168,150,"Sandy",2026-04-22 11:17:00,"Sunny",NA,0,0,"site filled with weed"
7,5,"7_5","Rotoiti","Stone_pile",54730,-38.0400700989088,176.368333417899,150,"Sandy",2026-04-22 12:56:00,"Sunny",NA,0,0,NA
8,5,"8_5","Rotoiti","Control",54730,-38.0399884269911,176.367640974845,150,"Sandy",2026-04-22 12:56:00,"Sunny",NA,0,0,NA
9,5,"9_5","Rotoiti","Stone_pile",54730,-38.0149838,176.4133799,150,"Sandy",2026-04-22 10:13:00,"Cloudy",NA,0,0,NA
10,5,"10_5","Rotoiti","Control",54730,-38.0149894250948,176.414205051426,150,"Rocky",2026-04-22 10:13:00,"Cloudy",NA,0,0,NA
11,5,"11_5","Rotoiti","Reference",54730,-38.0276056022708,176.40494378912,150,"Rocky",2026-04-20 14:59:00,"Cloudy",4,0,0,NA
12,5,"12_5","Rotoiti","Reference",54730,-38.027783,176.4042814,150,"Rocky",2026-04-20 14:59:00,"Cloudy",4,0,0,NA
13,5,"13_5","Rotoiti","Reference",54730,-38.0401949,176.3586787,150,"Sandy",2026-04-20 13:57:00,"Cloudy",4,0,0,NA
14,5,"14_5","Rotoiti","Reference",54730,-38.0398114,176.3581623,150,"Sandy",2026-04-20 13:57:00,"Cloudy",4,0,0,NA
15,5,"15_5","Rotoiti","Reference",54730,-38.0354320054637,176.345087343881,150,"Rocky",2026-04-20 13:39:00,"Cloudy",4,0,0,NA
16,5,"16_5","Rotoiti","Reference",54730,-38.035946522854,176.345727107707,150,"Rocky",2026-04-20 13:39:00,"Cloudy",4,0,0,NA
17,5,"17_5","Rotoiti","Reference",54730,-38.0174132,176.3755268,150,"Rocky",2026-04-20 14:24:00,"Cloudy",4,0,0,NA
18,5,"18_5","Rotoiti","Reference",54730,-38.0172588,176.3757789,150,"Rocky",2026-04-20 14:24:00,"Cloudy",4,0,0,NA
19,5,"19_5","Rotoiti","Reference",54730,-38.01677,176.421,150,"Rocky",2026-04-20 14:42:00,"Cloudy",4,0,0,NA
20,5,"20_5","Rotoiti","Reference",54730,-38.0170202210521,176.420489675691,150,"Rocky",2026-04-20 14:42:00,"Cloudy",4,0,0,NA
