"site_id","monitoring_id","weed_type","species","scientific_name","native_status","percentage_cover"
1,"1_0","Emergent",NA,NA,NA,0
1,"1_0","Submerged",NA,NA,NA,0
1,"1_0","Turf",NA,NA,NA,0
2,"2_0","Emergent",NA,NA,NA,0
2,"2_0","Submerged",NA,NA,NA,0
2,"2_0","Turf",NA,NA,NA,0
3,"3_0","Emergent",NA,NA,NA,0
3,"3_0","Submerged",NA,NA,NA,0
3,"3_0","Turf",NA,NA,NA,0
4,"4_0","Emergent",NA,NA,NA,0
4,"4_0","Submerged",NA,NA,NA,0
4,"4_0","Turf",NA,NA,NA,0
5,"5_0","Emergent","Water_lilies","Nymphaea spp.","Non_Native",30
5,"5_0","Submerged","Hornwort","Ceratophyllum demersum","Non_Native",10
5,"5_0","Turf",NA,NA,NA,0
6,"6_0","Emergent","Raupō_(Bulrush)","Typha orientalis","Native",10
6,"6_0","Submerged",NA,NA,NA,0
6,"6_0","Turf",NA,NA,NA,0
7,"7_0","Emergent",NA,NA,NA,1
7,"7_0","Submerged","Red_luwigia","Ludwigia repens","Non_Native",5
7,"7_0","Turf","Turf_Gloss","Glossostigma","Native",40
8,"8_0","Emergent",NA,NA,NA,0
8,"8_0","Submerged","Red_luwigia","Ludwigia repens","Non_Native",10
8,"8_0","Turf","Turf_Gloss","Glossostigma","Native",10
9,"9_0","Emergent",NA,NA,NA,0
9,"9_0","Submerged",NA,NA,NA,0
9,"9_0","Turf","Turf_Gloss","Glossostigma","Native",10
10,"10_0","Emergent",NA,NA,NA,0
10,"10_0","Submerged",NA,NA,NA,0
10,"10_0","Turf",NA,NA,NA,0
11,"11_0","Emergent",NA,NA,NA,0
11,"11_0","Submerged",NA,NA,NA,0
11,"11_0","Turf",NA,NA,NA,0
12,"12_0","Emergent",NA,NA,NA,0
12,"12_0","Submerged",NA,NA,NA,0
12,"12_0","Turf",NA,NA,NA,0
13,"13_0","Emergent",NA,NA,NA,0
13,"13_0","Submerged",NA,NA,NA,0
13,"13_0","Turf",NA,NA,NA,0
14,"14_0","Emergent",NA,NA,NA,0
14,"14_0","Submerged",NA,NA,NA,0
14,"14_0","Turf","Turf_Gloss","Glossostigma","Native",20
15,"15_0","Emergent",NA,NA,NA,0
15,"15_0","Submerged",NA,NA,NA,0
15,"15_0","Turf",NA,NA,NA,0
16,"16_0","Emergent",NA,NA,NA,0
16,"16_0","Submerged",NA,NA,NA,0
16,"16_0","Turf",NA,NA,NA,0
17,"17_0","Emergent",NA,NA,NA,0
17,"17_0","Submerged",NA,NA,NA,0
17,"17_0","Turf",NA,NA,NA,0
18,"18_0","Emergent",NA,NA,NA,0
18,"18_0","Submerged",NA,NA,NA,0
18,"18_0","Turf",NA,NA,NA,0
19,"19_0","Emergent",NA,NA,NA,0
19,"19_0","Submerged",NA,NA,NA,0
19,"19_0","Turf",NA,NA,NA,0
20,"20_0","Emergent",NA,NA,NA,0
20,"20_0","Submerged",NA,NA,NA,0
20,"20_0","Turf",NA,NA,NA,0
1,"1_1","Emergent",NA,NA,NA,0
1,"1_1","Submerged",NA,NA,NA,0
1,"1_1","Turf",NA,NA,NA,0
2,"2_1","Emergent",NA,NA,NA,0
2,"2_1","Submerged","Hornwort",NA,NA,90
2,"2_1","Turf",NA,NA,NA,0
3,"3_1","Emergent",NA,NA,NA,0
3,"3_1","Submerged",NA,NA,NA,0
3,"3_1","Turf",NA,NA,NA,0
4,"4_1","Emergent",NA,NA,NA,0
4,"4_1","Submerged",NA,NA,NA,0
4,"4_1","Turf",NA,NA,NA,0
5,"5_1","Emergent","Water_lilies","Nymphaea spp.","Non_Native",0
5,"5_1","Submerged","Hornwort","Ceratophyllum demersum","Non_Native",50
5,"5_1","Turf",NA,NA,NA,0
6,"6_1","Emergent","Raupō_(Bulrush)","Typha orientalis","Native",10
6,"6_1","Submerged","Hornwort","Ceratophyllum demersum","Non_Native",90
6,"6_1","Turf",NA,NA,NA,0
7,"7_1","Emergent",NA,NA,NA,1
7,"7_1","Submerged","Red_luwigia","Ludwigia repens","Non_Native",5
7,"7_1","Turf","Turf_Gloss","Glossostigma","Native",40
8,"8_1","Emergent",NA,NA,NA,0
8,"8_1","Submerged","Red_luwigia","Ludwigia repens","Non_Native",10
8,"8_1","Turf","Turf_Gloss","Glossostigma","Native",10
9,"9_1","Emergent",NA,NA,NA,0
9,"9_1","Submerged",NA,NA,NA,0
9,"9_1","Turf","Turf_Gloss","Glossostigma","Native",10
10,"10_1","Emergent",NA,NA,NA,0
10,"10_1","Submerged",NA,NA,NA,0
10,"10_1","Turf",NA,NA,NA,0
11,"11_1","Emergent",NA,NA,NA,0
11,"11_1","Submerged",NA,NA,NA,0
11,"11_1","Turf",NA,NA,NA,0
12,"12_1","Emergent",NA,NA,NA,0
12,"12_1","Submerged",NA,NA,NA,0
12,"12_1","Turf",NA,NA,NA,0
13,"13_1","Emergent",NA,NA,NA,0
13,"13_1","Submerged",NA,NA,NA,0
13,"13_1","Turf",NA,NA,NA,0
14,"14_1","Emergent",NA,NA,NA,0
14,"14_1","Submerged",NA,NA,NA,0
14,"14_1","Turf","Turf_Gloss","Glossostigma","Native",20
15,"15_1","Emergent",NA,NA,NA,0
15,"15_1","Submerged",NA,NA,NA,0
15,"15_1","Turf",NA,NA,NA,0
16,"16_1","Emergent",NA,NA,NA,0
16,"16_1","Submerged",NA,NA,NA,0
16,"16_1","Turf",NA,NA,NA,0
17,"17_1","Emergent",NA,NA,NA,0
17,"17_1","Submerged",NA,NA,NA,0
17,"17_1","Turf",NA,NA,NA,0
18,"18_1","Emergent",NA,NA,NA,0
18,"18_1","Submerged",NA,NA,NA,0
18,"18_1","Turf",NA,NA,NA,0
19,"19_1","Emergent",NA,NA,NA,0
19,"19_1","Submerged",NA,NA,NA,0
19,"19_1","Turf",NA,NA,NA,0
20,"20_1","Emergent",NA,NA,NA,0
20,"20_1","Submerged",NA,NA,NA,0
20,"20_1","Turf",NA,NA,NA,0
1,"1_2","Emergent",NA,NA,NA,0
1,"1_2","Submerged",NA,NA,NA,0
1,"1_2","Turf",NA,NA,NA,0
2,"2_2","Emergent",NA,NA,NA,0
2,"2_2","Submerged",NA,NA,NA,0
2,"2_2","Turf",NA,NA,NA,0
3,"3_2","Emergent",NA,NA,NA,0
3,"3_2","Submerged",NA,NA,NA,0
3,"3_2","Turf",NA,NA,NA,0
4,"4_2","Emergent",NA,NA,NA,0
4,"4_2","Submerged",NA,NA,NA,0
4,"4_2","Turf",NA,NA,NA,0
5,"5_2","Emergent","Water_lilies","Nymphaea spp.","Non_Native",0
