"model_id","RQ","species","response_type","comparison","time_frame","term","estimate","std.error","statistic","p.value","p_adj_BH","conf.low","conf.high"
"M1ok","RQ1","Kōura","occupancy","vs_control","full","(Intercept)",-8.033,4.736,-1.696,0.09,NA,-17.315,1.249
"M1ok","RQ1","Kōura","occupancy","vs_control","full","PeriodAfter",4.171,2.5,1.669,0.095,NA,-0.728,9.071
"M1ok","RQ1","Kōura","occupancy","vs_control","full","siteStone_pile",0.017,2.482,0.007,0.995,NA,-4.849,4.883
"M1ok","RQ1","Kōura","occupancy","vs_control","full","monitoring_int",-0.218,0.333,-0.655,0.512,NA,-0.871,0.435
"M1ok","RQ1","Kōura","occupancy","vs_control","full","Temperature",0.292,0.171,1.713,0.087,NA,-0.042,0.626
"M1ok","RQ1","Kōura","occupancy","vs_control","full","PeriodAfter:siteStone_pile",1.814,1.968,0.922,0.357,0.847,-2.043,5.671
"M1ak","RQ1","Kōura","abundance","vs_control","full","(Intercept)",-1.521,1.553,-0.979,0.327,NA,-4.566,1.523
"M1ak","RQ1","Kōura","abundance","vs_control","full","PeriodAfter",1.659,1.043,1.591,0.112,NA,-0.384,3.703
"M1ak","RQ1","Kōura","abundance","vs_control","full","siteStone_pile",0.702,1.306,0.538,0.591,NA,-1.857,3.261
"M1ak","RQ1","Kōura","abundance","vs_control","full","monitoring_int",-0.09,0.096,-0.937,0.349,NA,-0.279,0.099
"M1ak","RQ1","Kōura","abundance","vs_control","full","Temperature",-0.05,0.042,-1.189,0.235,NA,-0.132,0.032
"M1ak","RQ1","Kōura","abundance","vs_control","full","PeriodAfter:siteStone_pile",0.283,1.214,0.233,0.816,0.853,-2.096,2.661
"M1bk","RQ1","Kōura","biomass","vs_control","full","(Intercept)",0.883,1.951,0.452,0.651,NA,-2.941,4.706
"M1bk","RQ1","Kōura","biomass","vs_control","full","PeriodAfter",1.786,1.374,1.3,0.194,NA,-0.907,4.479
"M1bk","RQ1","Kōura","biomass","vs_control","full","siteStone_pile",1.37,1.55,0.884,0.377,NA,-1.667,4.407
