"site_id","site","DHT","Substrate_index_before","Slope_0_20m"
"1","Stone_pile","Rocky",5.2,0.12
"2","Control","Rocky",4.4,0.11
"3","Stone_pile","Sandy",3,0.01
"4","Control","Sandy",3,0.01
"5","Stone_pile","Sandy",2.4,0.01
"6","Control","Sandy",3,0.01
"7","Stone_pile","Sandy",3,0.06
"8","Control","Sandy",3,0.05
"9","Stone_pile","Sandy",3.35,0.08
"10","Control","Rocky",5,0.09
"11","Reference","Rocky",6.6,0.16
"12","Reference","Rocky",6.2,0.12
"13","Reference","Sandy",3.6,0.09
"14","Reference","Sandy",3.5,0.11
"15","Reference","Rocky",5.2,0.03
"16","Reference","Rocky",5.2,0.04
"17","Reference","Rocky",5,0.05
"18","Reference","Rocky",6.2,0.05
"19","Reference","Rocky",5.7,0.11
"20","Reference","Rocky",5.7,0.13
